Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
213.0,-1.640362,0.078031,0.162013,0.789556,0.910708,-0.197422,0.556028,-0.700639,0.537043,-0.507232,0.459459,0.378501,0.068804,0.79454,-1.570399,-1.064916,-0.27006,-1.443263,-0.406865,-0.37463,1.309684,0.142534,1.02943,0.301675,-0.535667,0.133717,0.729426,1.193401,52.56,0
220.0,-0.13231,-1.647511,-1.717802,-0.326413,-2.337902,1.795104,0.596933,-0.635667,-1.109648,1.028119,-1.113637,-1.018227,-0.765946,0.114087,0.620797,1.192672,1.044971,0.000774,1.020522,-0.671,-1.820866,-0.671131,-0.806261,-0.631987,-0.959375,-0.46111,0.620017,1.715257,114.48,0
223.0,-1.725346,-1.287735,-0.791446,0.765742,-0.204947,-0.724109,0.716733,0.95639,-0.01876,-0.816219,0.27028,-0.233268,-0.241013,-0.5124,0.924983,0.24988,1.035701,1.336326,0.458981,-0.506477,1.040326,0.465665,2.603368,0.310103,0.697688,0.290424,-0.099099,-0.258792,11.01,0
282.0,0.294244,0.521176,1.154388,0.308851,-0.462889,-0.326854,-1.322937,1.661214,-0.541174,0.96744,0.276551,0.303732,-0.117448,-0.787799,-0.968535,1.728465,0.113961,1.125268,1.384907,-0.410847,0.423506,0.045011,-1.157214,-0.18548,0.587507,-0.499029,-0.324843,-0.173367,31.58,0
287.0,2.111529,-1.834049,0.501643,-0.253339,-0.640655,-0.277876,0.667376,0.724524,0.186017,1.092741,1.268833,0.816376,-0.546192,0.494442,0.499201,-0.815631,-1.569439,-2.022776,0.069855,0.29804,-1.181782,1.046032,0.152218,1.349453,0.370536,-1.066334,0.458281,0.670111,17.08,0
298.0,-0.547624,-1.442093,0.100296,-1.000845,1.120888,-0.407177,1.724601,-2.124159,0.134796,1.429393,-0.890304,-0.159201,-0.403036,-0.683768,0.244623,-1.295422,-0.110969,0.515994,-0.215094,-1.000204,1.030185,0.730257,-1.041187,-1.294108,-0.951924,0.545273,0.275573,0.790083,45.67,0
324.0,-0.32615,-0.924734,0.918846,-0.553449,0.186548,-1.549925,-0.56981,1.009396,-0.716275,0.814504,-2.33102,-0.559392,-0.171355,1.74254,-1.169063,0.670993,1.056932,-0.72149,-0.373524,0.141629,-1.481485,-0.455103,1.276112,0.522655,-0.156751,0.113072,0.580905,0.77241,8.65,0
333.0,-0.556414,1.534721,1.316348,0.677258,-0.84296,-1.020224,-0.326604,0.060765,-1.768492,0.494693,1.287462,0.576474,-0.676053,-0.794403,0.299852,-0.153304,0.443041,0.601721,1.091891,-1.132123,0.221619,-0.363475,-0.098635,0.864409,0.973126,1.398444,0.42559,-0.110017,15.41,0
386.0,-0.252878,-1.734755,1.339735,-0.321898,0.505897,0.678997,-1.245316,-0.923346,1.54702,0.290436,-0.580586,-0.126347,1.086237,0.934314,-1.466082,1.634284,0.966148,-0.152475,-1.191722,1.054009,0.476428,-1.457798,-0.232078,3.126173,0.016502,-0.741971,-1.008497,1.772099,7.94,0
390.0,0.847759,1.407439,0.248185,1.254019,-0.84832,0.162591,0.287054,1.382447,0.318843,-0.625512,0.064074,-1.676413,-2.320969,0.831341,-0.374744,-0.261417,0.830947,1.39701,0.534488,1.928073,0.502689,0.302213,0.240389,-1.285496,0.955999,-2.445466,-0.586253,0.02293,3.34,0
399.0,-0.789762,-0.451756,1.839376,1.104024,-0.685828,-0.469567,-1.277004,0.704994,-0.249742,-1.966466,0.100784,0.438979,0.963141,-0.073355,-0.372671,1.986265,0.006586,0.719562,-0.53954,0.68991,-1.455629,-0.462068,-1.208274,-0.604973,1.25047,-0.612326,0.718256,1.517265,35.33,0
416.0,-0.027577,0.993767,0.531086,0.116437,0.750316,1.839938,-0.637269,-0.959201,-1.017915,0.994428,1.129368,-0.537037,-2.136014,-0.674757,0.547854,-0.066723,0.180348,-0.523344,1.014089,0.343192,0.586463,0.159066,0.524368,0.458572,-0.928075,0.373063,0.791508,1.155141,71.72,0
417.0,0.416107,-0.965251,-0.811317,-0.435148,0.189464,-0.122236,-1.123732,-1.12972,-2.098522,-3.119475,-0.131782,2.32023,1.79678,-0.978231,0.149903,-1.46458,-1.31211,-1.197473,-0.225499,-0.18246,0.252702,0.663216,-0.336881,0.036202,-1.093813,-1.344497,-1.498972,0.649248,9.69,0
422.0,-0.337908,-1.87112,-0.063089,-1.248821,1.660379,-0.578822,0.681506,1.088963,-0.954928,0.076047,0.553468,0.115546,0.361101,-1.329629,0.554036,-0.486164,0.349451,0.919989,0.668809,0.34872,0.642128,0.688411,1.495501,-0.034051,0.163957,0.932067,-0.490388,-1.335267,22.73,0
428.0,0.49323,-0.206024,-1.207527,0.500542,1.431133,-1.629743,1.022325,-2.537068,-0.400287,1.840516,-0.328324,0.089938,0.762866,-1.716474,0.072095,0.064213,1.862321,-1.235741,-0.381539,-0.928356,-1.034412,1.127403,0.026652,-0.555567,-0.517846,-0.563227,-0.473803,-1.264445,149.23,0
446.0,-0.25873,-0.359207,-0.757797,0.155046,0.239889,-0.556647,-0.144134,2.158624,2.120433,-1.05409,-0.914448,-1.059403,1.057054,-0.398529,0.239674,1.996967,-0.010465,0.706249,0.520421,-0.588217,1.059162,-0.849701,1.33988,-0.587451,-0.477968,-1.088488,-0.924259,-0.426764,5.01,0
468.0,-2.431349,-0.233332,-0.507974,0.790011,0.422981,-0.707637,-0.458551,-0.234618,1.485957,-0.822305,-0.719761,-1.128584,-1.482039,0.307004,0.202903,1.282762,1.041409,2.397117,-0.073873,-0.26053,-1.300226,0.696578,0.118534,0.651266,-1.139124,0.351604,0.2052,0.139035,86.04,0
496.0,-0.683266,1.189325,2.050308,-1.110344,0.720444,-2.87785,0.66861,-1.870155,-0.524967,-1.313025,-0.215611,0.838794,-1.857313,-0.35948,-0.513369,1.581049,0.431761,-1.177217,-0.471294,1.556104,0.714365,-0.918233,-0.267071,-0.235109,-0.537982,-1.710212,-0.677622,1.389199,26.15,0
529.0,-0.381144,-0.103254,0.140526,2.218141,0.008875,1.093945,-0.59818,-0.259399,0.012553,-0.774133,-0.203718,0.888051,-0.800365,8.9e-05,0.708734,-0.824466,1.095414,0.072883,-0.165123,-2.008148,-0.373612,0.371592,1.745345,0.567889,1.126216,-1.209105,-0.126822,1.220746,34.24,0
554.0,-0.887734,0.965223,0.733318,0.274724,-0.328703,-0.986295,1.775379,0.631863,0.340616,-0.41285,0.037872,0.164717,0.399876,0.73434,-0.782472,-1.466597,0.084281,-1.747217,-0.323661,-0.50919,0.491748,1.982597,-1.944591,2.274185,-0.233075,0.347809,-1.414832,0.996872,20.22,0
602.0,0.041473,-0.061467,-1.937385,0.073797,0.845828,-0.236279,1.174199,1.132895,-0.641095,1.595114,0.045295,0.049745,0.098981,0.069316,-2.630133,-0.185506,-1.363946,1.626336,1.586083,0.851938,-0.238467,-1.008015,-0.657581,1.942642,-0.692197,-2.355595,1.030166,1.500503,9.42,0
604.0,1.659216,1.038348,1.20152,0.052934,-2.076296,0.027881,0.621573,-0.13527,-0.180836,-0.964118,-1.001739,1.838149,1.874346,-0.002647,0.281524,-0.980858,0.642575,1.759649,-1.529231,0.463883,0.539022,0.527607,1.642818,2.036018,-0.233484,0.673174,0.084234,-0.632115,28.14,0
625.0,0.270814,0.6715,0.216929,-0.881181,-0.463561,-0.455907,-0.842444,0.31354,0.418112,0.979518,-0.857622,-0.577479,1.554569,-0.164496,0.030131,-0.175104,1.133031,1.171809,1.113208,0.026568,-0.872436,1.925213,0.856309,-0.456659,1.423819,-0.535609,1.410703,1.478285,4.82,0
644.0,-0.921483,0.581758,0.782191,2.614909,-0.742301,1.432543,0.017346,-1.241364,-0.119987,0.002465,-1.05889,0.312174,0.957809,0.238201,-0.541844,-0.148472,-0.004543,0.217322,1.109831,0.27194,-1.402697,-0.562321,0.166021,1.124124,1.297846,1.774685,0.130614,0.763309,2.6,0
668.0,-1.454462,0.429882,-1.075264,-0.062539,3.029838,0.303554,-0.863813,0.407789,-0.517075,-0.960744,2.10314,1.066812,0.345537,-0.391823,-0.310789,1.542482,0.306578,-3.082805,2.420939,0.183062,0.343369,1.086695,0.465403,0.746909,-0.423723,-1.229795,0.280233,1.431615,29.68,0
673.0,-0.647803,-0.728024,1.221019,-0.457245,-0.41056,-0.373144,-0.064981,-1.573638,-0.53934,0.230368,0.223238,1.157993,1.839392,1.512483,0.914652,-0.148735,-0.623069,0.017878,0.585579,0.821938,0.623086,-0.121175,0.786862,1.260873,0.88016,-0.032013,-0.833849,-0.857567,4.61,0
681.0,-0.681218,0.257075,0.519804,-1.414532,-0.503995,0.243285,-0.89968,0.433904,-0.307428,-0.72342,0.053205,0.39228,-0.848529,-0.242612,0.467678,-0.76209,-1.657757,-1.536574,-0.418051,-1.318418,-0.347722,1.664943,-1.378598,-0.282605,2.132305,0.40813,-0.367723,-0.156883,38.22,0
682.0,0.429363,1.695772,-0.530854,-0.75761,-1.378809,0.103096,-1.405687,-0.463783,-0.908683,1.074124,-0.508396,0.39693,-1.604092,0.131507,-1.20316,-0.425648,2.211203,0.932174,-0.128413,3.198942,-0.915175,1.165216,-1.532674,-0.243923,-1.34779,0.257276,0.05597,-0.307665,29.15,0
692.0,1.092057,-0.567099,0.326852,0.820555,-1.483221,-0.748414,0.053861,0.630153,1.421238,-0.21588,-0.316471,-0.872596,0.329984,-0.297118,-0.274032,-0.093889,0.551628,-0.563731,-0.772158,0.431724,-3.025725,-0.603678,-1.151309,1.203258,-0.440933,-0.560716,-0.048622,-0.595372,90.17,0
693.0,-0.402648,0.09711,-0.42204,-0.429217,-1.010158,-1.153784,0.060637,0.306601,-1.428157,0.759941,0.764048,0.974689,0.299889,0.637082,2.185026,-0.301522,-1.045692,-1.53406,1.755674,1.768787,-0.9246,-0.727321,-0.323991,1.224257,-1.287302,-1.96662,2.167514,0.312373,51.39,0
730.0,0.454413,-0.205106,0.465785,-1.514206,-0.840921,0.105158,-2.270891,-0.302518,-0.364164,-0.30269,-0.551082,-0.995892,-1.822032,0.144747,-0.300124,-1.375282,0.062533,-0.29495,-0.461024,-2.156895,0.682768,-1.233051,0.06327,-0.808268,-0.388727,1.152292,0.531618,1.13004,28.61,0
740.0,0.330385,0.396144,-1.781139,-0.317525,-0.224909,1.223665,-0.506229,0.26486,0.225757,1.157675,-0.133744,0.827787,-1.704865,-1.614019,-2.283344,0.785985,0.673667,0.896828,-0.677362,-0.563548,-0.121048,1.443699,1.693828,0.793808,0.33102,1.335383,-0.255842,-0.390942,47.28,0
744.0,-0.129022,-0.978714,-0.175009,-1.117408,1.025008,0.543687,1.429562,-1.629283,1.901697,-1.572475,-1.198308,-0.620822,1.307721,0.225573,-0.243829,-0.792627,-1.375935,1.132627,0.798639,1.35245,0.396818,-2.642102,-1.244583,0.464871,-0.369717,-0.558842,-1.103227,0.94759,21.69,0
754.0,0.456193,0.501191,-0.633602,0.176288,-1.337765,-0.129828,-2.52793,-1.568116,-0.322312,2.375118,-1.800743,-1.243581,0.216775,1.769423,0.202172,0.702142,-0.337604,-0.510622,0.082184,-0.658289,0.724269,-1.606272,0.889987,0.039313,-0.214721,-1.642985,-0.979789,1.198651,17.18,0
760.0,-0.208599,0.278398,-0.879532,-0.029055,-1.372152,0.099882,0.370641,0.320615,-0.903585,-0.342051,0.537194,-0.211438,-0.287305,1.903468,-0.950989,1.080418,-1.154681,0.654781,0.708153,-0.510365,-1.217477,-1.970433,-0.615114,0.526219,-1.077628,0.096949,-1.47643,-0.233888,13.25,0
769.0,-1.147044,-0.077981,-0.501079,-1.190366,-0.658873,-0.934157,-1.313925,1.082746,-0.360175,-2.202225,-0.623281,0.914712,-0.761359,1.497744,-0.856662,0.503408,1.036639,0.450194,-1.374494,-0.942469,1.170071,-0.804611,0.975677,-0.430285,0.141437,-1.386107,-0.608268,-0.875306,74.25,0
769.0,0.2256,0.093198,0.46265,-0.490523,-0.93023,0.182729,-1.029589,1.078423,-0.114522,-0.326135,0.462176,-0.076364,-1.658052,-1.06143,1.057709,0.083884,-1.681568,0.352112,-0.559259,-0.8745,-1.144873,0.999929,-1.965498,-0.837532,0.120127,1.578363,0.553858,-0.846025,10.52,0
778.0,1.529353,-1.355123,0.265336,0.487785,-0.881116,0.697593,-0.51389,0.695142,-1.839595,0.334976,-0.412107,1.149704,-0.043981,1.24923,0.507613,-0.127508,0.787669,0.794058,0.47191,-2.292301,-0.98256,1.384106,-1.255946,0.882461,0.706453,-0.725752,-1.995232,-0.568913,11.86,0
798.0,2.078015,-0.863277,-0.794257,-0.997582,1.214784,-0.242916,-0.625906,1.413474,0.579494,-0.91929,-1.223584,1.15817,0.016788,-1.549064,-1.783116,-1.116039,-1.239485,-2.046077,-1.099507,-0.919081,-0.462681,1.69291,-0.266843,-0.167575,0.509255,-0.237318,0.400153,0.280615,17.95,0
819.0,0.122589,2.766466,0.911126,-1.081722,0.370222,-0.791737,0.446251,-1.375187,-1.107779,0.343908,0.997669,0.502644,0.854117,0.373819,0.172496,-0.503693,0.813002,1.024879,-0.063116,-0.116926,1.591406,-0.020422,0.075686,0.484226,-0.097806,-0.82034,0.377966,-0.038755,27.05,0
821.0,1.84225,0.788449,-0.595482,0.72906,0.307866,1.309426,-0.524454,0.188676,-0.099094,0.058479,-0.885199,0.575912,0.417964,1.285224,-0.010026,-0.41184,0.789294,-0.794204,1.084985,1.082842,1.257279,0.376623,-0.486496,0.109188,0.380069,-0.560142,1.333116,0.580084,10.56,0
839.0,-0.892223,1.882874,0.097389,-1.094103,-0.830254,1.487784,1.824985,1.009485,1.319309,1.216615,0.556916,0.329042,0.539863,0.736015,-0.741598,0.731959,1.458617,-0.206372,-0.313248,0.476546,-0.649658,-1.316819,1.147719,-0.450951,0.018449,-0.610125,1.276755,0.853176,17.16,0
861.0,-0.24074,-1.179897,-0.34693,0.570153,0.188636,0.109098,0.211699,0.758796,-0.041859,0.450013,-0.986919,2.553851,-0.283859,0.203593,0.566466,-0.410791,0.007825,-0.004325,-0.914038,0.438589,-1.649222,1.752708,0.792971,0.639122,-1.736642,-0.792529,1.389345,4.151241,16.75,0
895.0,1.194692,1.036943,0.524974,-0.847497,0.995174,-1.101207,-1.210585,-1.273529,0.975723,-0.057414,0.100858,-0.015404,-1.125717,-0.670731,-0.620426,-1.405271,-0.50421,-1.081306,0.577676,0.660971,-1.293639,-0.296632,1.85606,-0.980763,0.426638,0.105522,1.092888,0.295467,20.23,0
901.0,-0.431295,0.066764,0.08137,-0.091695,-1.319111,1.243089,1.066434,-1.044189,-0.300726,-0.225086,-1.156519,-1.866796,-0.670593,-0.356402,-1.441233,0.176978,1.162856,0.842116,-0.126686,-1.840412,0.715702,0.146392,0.424351,1.936103,-0.824812,-2.874816,-1.053455,0.486045,15.63,0
920.0,0.026926,-1.215636,-1.419717,-0.354609,-1.246095,0.520633,-0.411427,-0.627118,-0.758276,0.263123,0.042609,0.201957,0.180129,-0.072196,-1.033131,-0.73038,-0.394675,2.065195,-1.348836,-0.418977,0.098267,-0.303333,1.07397,-0.308498,-0.234541,0.814629,1.810712,1.407498,16.71,0
937.0,-0.136654,-0.049514,0.046719,0.146999,-0.847348,0.936594,0.206609,-0.044856,-1.271145,0.062286,-1.893212,-0.581649,-0.563098,0.286995,1.87985,0.571907,1.448402,0.645212,1.125053,1.857127,-0.731837,-0.797104,0.668811,-0.003678,0.220354,-0.248667,-0.596259,1.620765,3.55,0
938.0,-1.099861,0.686392,0.524228,-1.579013,-0.83078,-0.662691,0.564584,-0.367035,-0.08559,-1.457647,2.325912,0.071196,0.499001,-0.540625,-0.652627,1.912685,-1.916722,0.278647,-1.211504,-0.405001,-0.638094,-0.985978,0.035442,-2.568029,-0.315488,-0.09029,-1.359277,1.513219,51.69,0
946.0,-0.594458,-0.237484,-0.592219,-0.081566,1.308144,2.473016,0.745639,1.087994,1.716427,0.248871,1.570251,0.792401,0.143987,0.350341,-1.821417,0.292119,-1.543748,-1.625269,0.192879,-1.114079,-0.007114,0.138435,0.18305,-0.904121,0.898682,-0.089235,0.441076,-1.19644,9.35,0
948.0,-0.178328,1.097294,0.970178,-0.797293,-0.545558,-0.988687,-0.656413,-1.399068,-0.138176,0.633138,-0.785053,-0.090606,-0.220498,1.055119,-0.611592,-0.575216,-0.846021,-1.13751,0.529185,-0.135111,0.05481,1.274641,1.332081,-1.646234,0.647835,0.225647,-0.461591,0.327684,18.63,0
951.0,-1.726383,1.462642,0.514944,-0.865198,-0.58541,-1.703146,-0.313957,-0.482732,-1.32511,0.776702,1.276797,-0.02736,-0.305647,0.434985,-0.019639,-1.082179,-0.652678,-0.296436,0.248187,0.009337,0.210369,-1.524828,0.665218,0.003416,2.552709,-0.387634,0.323458,2.829219,10.87,0
968.0,0.194092,-0.067631,-0.986922,1.528266,-1.159102,0.427121,-0.473555,-0.189336,-1.423932,1.343127,-0.277797,-1.21509,1.252691,-0.504137,0.334607,0.841416,0.474034,-2.196636,0.695357,-0.100614,-0.329029,-0.109075,-1.610033,0.192171,-1.364391,-0.28584,0.156264,1.074037,75.51,0
975.0,-0.819613,1.451587,0.946853,-0.42941,-1.108749,-1.443816,0.271754,-0.737284,1.199357,-0.679524,-0.900671,0.233626,-0.686047,0.00855,0.985989,0.117229,0.120964,0.205147,-1.693099,0.391838,0.159932,0.892897,0.605811,-0.201949,1.032393,-0.292631,0.247157,-0.311149,26.09,0
990.0,0.461758,-0.37649,1.647552,2.017363,0.873938,1.541297,-1.539214,-1.421378,-0.321561,0.041231,-0.198207,-1.642135,1.151592,2.154198,1.280988,1.085523,0.22612,-0.842997,0.072528,2.105588,-0.351988,-0.454957,1.107304,1.173686,-0.847902,-0.261485,-0.501905,0.069689,75.68,0
1011.0,1.103687,-0.804028,1.089665,0.101651,2.326192,0.318831,-0.096919,0.574715,-0.337146,-1.795273,-0.240521,-0.256294,-1.592317,-0.073035,-2.06711,-0.347687,0.243596,0.096996,-0.411069,-0.08553,-0.784064,0.010817,0.058086,-0.90025,0.267699,0.261453,-0.16621,2.421047,54.37,0
1047.0,-0.140702,-0.279234,-0.422393,-0.970939,0.685897,-0.686247,-0.567948,-0.538242,-0.984944,-1.751083,-0.46294,0.873335,0.19698,1.560575,0.750956,0.523965,1.882649,-0.097146,0.063076,-0.011464,1.543787,0.002515,-0.648277,0.587676,-0.81626,0.533472,0.413841,-0.189403,14.73,0
1052.0,0.565812,-1.48779,0.162962,-0.462765,2.862264,0.155825,-0.596392,-1.378302,1.305406,-0.350033,-0.791352,0.336299,0.649719,0.633953,0.01975,0.15919,0.232037,0.336396,0.424885,1.094453,0.056415,-0.816803,-0.144292,0.753781,-1.786528,-1.780752,0.918276,1.520123,30.47,0
1053.0,-1.2652,0.100459,-0.399545,-2.99404,0.305531,-1.29287,-1.107218,-0.301251,-0.145376,-2.99753,0.789648,-3.507764,-0.421818,-1.835644,-0.128908,0.837477,-2.832015,-1.397387,-0.309788,0.060236,-1.240756,-1.387754,0.182298,-0.757781,-1.452512,0.965341,-0.631795,1.149812,72.92,1
1093.0,0.028471,0.294759,-0.2115,-2.655162,-1.136786,-0.125709,0.364729,-1.789674,-0.053602,-1.122264,0.23462,-0.019401,0.743502,1.066823,0.45899,0.860394,-0.350342,2.823117,-1.218819,-0.527756,0.901359,0.752721,0.487389,0.675319,-2.083557,1.589299,-0.203891,1.245894,6.96,0
1099.0,-2.033527,0.256569,-0.563502,0.57212,0.31707,0.366048,-1.058942,-0.056969,-0.180167,0.49531,0.989297,0.150476,-1.276172,0.107579,2.611076,1.646005,-2.9744,0.063343,0.93212,-0.182327,-0.460091,-0.266964,0.552189,-1.14847,1.188689,-0.055993,-0.935024,1.12435,127.27,0
1160.0,-1.545131,-0.55521,-0.571675,2.143942,-0.685021,-2.154965,-0.581815,0.45555,0.784085,2.27654,1.406898,0.187923,-0.891415,1.624027,-0.368564,-0.658157,-0.417074,-1.252288,-0.46502,-0.233108,0.730657,-0.388088,-1.267459,-1.603772,0.20957,0.072626,-0.554313,-0.467456,104.67,0
1172.0,0.388487,1.390546,-0.780145,0.088903,0.95827,-0.776114,-0.015632,-0.037996,-1.311295,0.168499,0.031545,0.555084,-1.186886,0.00997,1.381734,2.0775,1.280129,-1.177072,0.451053,-0.483147,0.283901,-0.772217,-1.713473,-0.344517,0.722603,0.288,0.402948,0.21635,107.12,0
1189.0,0.404527,0.529512,-0.274681,0.082891,1.743258,0.142031,0.042563,0.102885,-0.217909,-0.435356,0.208679,-0.505715,-0.145515,-0.790515,0.108012,0.584195,-0.211915,-2.008378,0.590372,0.120184,-0.993231,0.77327,-1.398425,1.045408,-0.057367,-2.268865,0.17833,-0.406192,25.59,0
1209.0,-0.556849,-0.737726,-0.127216,-0.485189,-1.85669,1.272068,-0.244358,-0.731935,-1.128424,0.770732,-1.298432,0.133987,-0.583649,-0.52542,-1.10356,-0.620319,0.008812,0.235312,-0.785592,-0.090934,0.888454,-1.662629,-0.006269,-0.950784,-1.052684,0.261012,-0.545251,-1.216803,17.95,0
1224.0,1.324283,0.92009,-1.932306,-1.474428,0.593457,-0.284874,1.500575,0.616336,0.299466,-1.021863,0.49144,-1.275764,1.305245,0.422139,-0.824831,0.804677,2.241525,-0.217617,0.550413,-0.431829,0.085352,-1.507235,-0.00053,0.043577,1.798998,-1.795003,-0.280883,1.288117,7.88,0
1239.0,-0.241771,-0.171342,-0.833259,-0.932605,-1.825854,-0.629215,-0.989355,0.118039,-0.787668,-0.479591,-0.452205,-0.048165,-0.528522,-1.061786,0.085766,1.067483,0.128466,-0.60982,-0.123146,-2.050633,-0.139403,-0.400354,-0.93346,-0.752098,-0.410235,0.992458,1.09206,-0.928125,120.83,0
1264.0,-0.518077,-0.49259,0.809546,0.145507,0.09279,0.536263,-0.596413,1.363887,-0.001745,-0.855912,-0.22964,1.231928,-0.425142,0.949558,-0.625346,-0.765664,0.659597,-0.873973,0.82254,0.351626,-0.873594,-0.071443,-0.548774,0.348977,1.887798,-0.370705,0.533776,0.024441,30.57,0
1270.0,0.024058,-0.165205,-0.857417,0.33514,-0.288742,-0.9048,1.014173,0.09901,-0.228099,1.340057,-1.836082,1.272821,-0.880188,0.211533,-0.588064,-0.923001,1.313887,1.856217,-0.221226,0.335475,0.056991,1.730507,-2.11315,0.377123,-0.727126,-2.355964,-0.36053,1.848049,279.06,0
